longitude,latitude,sp1,sp2,sp3,wc1,wc2,wc3,wc4,wc5,wc6,wc7,wc8,wc9,wc10,wc11,wc12,wc13,wc14,wc15,wc16,wc17,wc18,wc19,lc1,lc2,lc3,lc4,lc5,lc6,lc7,lc8,lc9,lc10
-79.41666666666667,47.75,1.0,,,1.9715313,11.7699795,25.15208,1236.5149,23.9645,-22.83075,46.79525,15.149625,-12.931666,16.201916,-14.143917,881.0,102.0,42.0,26.86017,290.0,147.0,281.0,156.0,1.0,10.0,22.0,0.0,11.0,0.0,55.0,0.0,0.0,0.0
-79.25,44.083333333333336,,1.0,,6.1337395,9.137855,24.476122,1027.9939,24.99525,-12.3385,37.33375,17.756292,-6.215875,18.339624,-6.768417,905.0,92.0,53.0,18.802525,261.0,167.0,257.0,174.0,1.0,31.0,22.0,0.0,2.0,0.0,39.0,5.0,0.0,0.0
-79.25,44.25,1.0,1.0,,6.180552,9.459271,25.064976,1031.4727,25.218,-12.521,37.739,18.394209,-6.278333,18.394209,-6.778625,901.0,91.0,52.0,17.521782,256.0,172.0,256.0,181.0,0.0,24.0,20.0,0.0,2.0,0.0,50.0,2.0,1.0,0.0
-79.25,44.416666666666664,,1.0,,6.3112707,8.896542,23.752455,1021.4146,24.9865,-12.46875,37.45525,9.514292,-2.6303334,18.35954,-6.365875,927.0,93.0,56.0,14.633209,260.0,183.0,248.0,192.0,0.0,2.0,4.0,0.0,1.0,0.0,12.0,1.0,81.0,0.0
-79.25,44.75,1.0,1.0,,5.5455627,10.49525,26.329784,1063.7617,25.21725,-14.6435,39.860752,-4.5142503,-2.5757084,18.028376,-7.99025,1044.0,107.0,65.0,15.467605,303.0,205.0,252.0,261.0,0.0,4.0,22.0,0.0,4.0,0.0,67.0,1.0,3.0,1.0
-79.25,44.916666666666664,1.0,1.0,1.0,5.228823,10.800813,26.727573,1069.8828,25.04075,-15.37,40.41075,7.6103334,-2.8072917,17.763083,-8.442542,1080.0,112.0,65.0,16.061872,320.0,213.0,257.0,264.0,0.0,0.0,13.0,0.0,3.0,0.0,79.0,1.0,4.0,2.0
-79.25,45.083333333333336,1.0,1.0,1.0,4.895,11.035208,27.177639,1069.6757,24.74375,-15.8602495,40.604,7.1920834,-3.0199585,17.424292,-8.820666,1089.0,113.0,67.0,16.206964,328.0,216.0,258.0,264.0,0.0,1.0,8.0,0.0,1.0,0.0,86.0,2.0,2.0,2.0
-79.25,45.25,1.0,1.0,1.0,4.7465105,10.924854,26.82114,1079.0397,24.58575,-16.1465,40.73225,7.0852504,-3.2946665,17.387333,-9.081208,1056.0,110.0,68.0,16.596605,319.0,207.0,253.0,261.0,0.0,1.0,9.0,0.0,2.0,0.0,76.0,2.0,11.0,2.0
-79.25,45.416666666666664,1.0,1.0,1.0,4.503448,10.773771,26.428486,1085.5337,24.33325,-16.4325,40.76575,6.745167,-3.5160832,17.232624,-9.415459,1044.0,112.0,67.0,17.014435,317.0,201.0,257.0,252.0,0.0,1.0,9.0,0.0,1.0,0.0,83.0,1.0,5.0,1.0
-79.25,45.583333333333336,1.0,1.0,,4.2193227,10.688854,26.165144,1090.8176,24.050251,-16.80125,40.8515,6.4905,-3.836625,16.991667,-9.785084,1031.0,112.0,62.0,18.048372,318.0,194.0,262.0,232.0,0.0,0.0,8.0,0.0,1.0,0.0,84.0,0.0,6.0,1.0
